city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
深圳,深圳求是资产管理,深圳求是资产管理有限公司,金融,福田区,"环境优美,团队年轻,沟通顺畅,发展广阔",10k-20k,不限,量化策略与数据分析师,开发/测试/运维类,数据开发,"金融,python,pandas",3524344,2017-09-14 17:42:11
深圳,Klook 客路旅行,深圳市客路网络科技有限公司,"移动互联网,旅游",福田区,国际化平台+飞速发展+技术大牛+丰厚薪资,10k-20k,1-3年,数据分析,技术,后端开发,"金融,大数据,SPSS",1928953,2017-09-15 14:16:09
深圳,天下房仓,深圳市天下房仓科技有限公司,"企业服务,旅游",龙华新区,"五险一金,带薪年假,精英团队,高速成长",5k-10k,1-3年,数据分析员,产品/需求/项目类,数据分析,"SPSS,数据管理",3610148,2017-09-15 09:39:52
深圳,爱问医联,爱问医联科技（深圳）有限公司,"医疗健康,移动互联网",南山区,"微博平台,爱问医生,互联网医疗",10k-15k,3-5年,数据分析师,产品/需求/项目类,数据分析,"金融,数据挖掘,SPSS,sas",3374806,2017-09-15 09:17:06
深圳,深圳市麦谷科技有限公司,深圳市麦谷科技有限公司,"移动互联网,数据服务",南山区,"年终奖,职位晋升,周末双休,周末双休",15k-25k,3-5年,数据分析,开发/测试/运维类,数据开发,"大数据,数据挖掘,SPSS,R",3528371,2017-09-05 19:09:44
深圳,思贝克,深圳市思贝克工业发展有限公司,移动互联网,南山区,"岗位晋升,扁平管理,下午茶",10k-20k,3-5年,数据分析师,开发/测试/运维类,数据开发,"征信,中级,数据挖掘,大数据",3497059,2017-09-14 10:27:48
深圳,瀚德金融,深圳瀚德金融控股有限公司,金融,南山区,"绩效奖金,领导好,扁平管理,午餐补助",15k-20k,1-3年,数据分析与量化岗-XWJF,开发/测试/运维类,数据开发,数据挖掘,3407097,2017-09-14 11:10:46
深圳,爱问科技,深圳爱问科技股份有限公司,"移动互联网,社交网络",南山区,五险一金 弹性工作 员工旅游 节日福利,15k-20k,5-10年,高级数据分析师,产品/需求/项目类,数据分析,"资深,大数据,数据挖掘",3272527,2017-09-15 09:04:19
深圳,光汇石油,深圳光汇石油集团股份有限公司,其他,福田区,"包吃,周末双休,13薪,上市公司",10k-15k,5-10年,数据分析主管,开发/测试/运维类,数据开发,"高级,大数据,数据挖掘",3368905,2017-09-13 09:42:02
深圳,4PX,深圳市递四方信息科技有限公司,"移动互联网,电子商务",宝安区,培训 晋升 平台大,4k-6k,不限,数据分析,产品/需求/项目类,数据分析,"物流,专员,助理,数据管理",3493170,2017-08-17 08:59:05
深圳,牛鼎丰科技,深圳市牛鼎丰科技有限公司,"金融,移动互联网",南山区,互联网氛围；领导好；福利多,25k-50k,10年以上,资深数据分析师,开发/测试/运维类,数据开发,,3607748,2017-09-14 11:04:18
深圳,轻松行,深圳市轻松行商旅网有限公司,"移动互联网,电子商务",福田区,"周末双休,五险一金,年终奖",8k-12k,3-5年,数据分析,产品/需求/项目类,数据分析,"大数据,SPSS,sas",3507244,2017-09-15 10:22:50
深圳,FORMAX金融圈,深圳福迈斯科技有限公司,"移动互联网,金融",南山区,"大平台,氛围好,福利多,专业培训",6k-9k,1-3年,数据分析专员,产品/需求/项目类,数据分析,"金融,业务运营,SPSS,数据管理",3554136,2017-09-15 14:01:44
