city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
上海,水象金融,上海水象金融信息服务有限公司,"电子商务,金融",闵行区,"六险一金,员工旅游,带薪年假,年终奖金",15k-20k,3-5年,高级数据分析师,产品/需求/项目类,数据分析,"['银行', '保险', 'SPSS', 'sas']",2944738,2017-09-01 09:52:00
上海,触通科技,广州市触通软件科技股份有限公司,"移动互联网,金融",浦东新区,"五险一金,双休,餐补",7k-13k,1-3年,数据分析师,产品/需求/项目类,数据分析,"['金融', '大数据', '数据挖掘', 'SPSS', 'sas']",3469470,2017-09-15 10:20:54
上海,趣致网络,上海趣致网络科技有限公司,"移动互联网,O2O",徐汇区,"五险一金,‘团队氛围,弹性工作",10k-20k,1-3年,数据分析,开发/测试/运维类,数据开发,['大数据'],2764883,2017-09-14 16:35:51
上海,摇钱罐,上海琴雁金融信息服务有限公司,"移动互联网,金融",黄浦区,"领导好,发展空间大,福利好",15k-25k,1-3年,数据分析师,开发/测试/运维类,数据开发,"['借贷', '大数据', '建模', '算法']",3449632,2017-09-11 12:57:09
上海,申通快递,申通快递有限公司,生活服务,青浦区,"五险一金,年假,双休,节日福利",10k-20k,1-3年,BI/数据分析工程师,开发/测试/运维类,数据开发,"['高级', '中级', '搜索', '数据挖掘', '深度学习']",3359923,2017-08-23 17:44:40
上海,美味不用等,美味不用等（上海）信息科技股份有限公司,"移动互联网,O2O",浦东新区,年底多薪、带薪年假、绩效奖金,15k-20k,1-3年,数据分析专家,产品/需求/项目类,数据分析,"['资深', '高级', '大数据', 'BI', '商业']",3313240,2017-09-14 16:52:33
上海,饿了么,拉扎斯网络科技（上海）有限公司,移动互联网,普陀区,竞争性薪酬 弹性工作时间,10k-20k,不限,数据分析师,开发/测试/运维类,数据开发,"['本地生活', '大数据', '数据挖掘', '数据开发', '数据管理']",3572564,2017-09-14 09:59:45
上海,上海金程教育培训有限公司,上海金程国际金融专修学院,教育,杨浦区,"五险一金,全勤奖,年底双薪,节日福利",5k-6k,不限,数据分析经理/主管/专员,开发/测试/运维类,数据开发,[],2687187,2017-09-15 09:37:43
上海,口袋网,深圳口袋网互联网金融服务有限公司,"移动互联网,金融",浦东新区,"带薪年假,美女帅哥多,办公氛围轻,员工旅游",15k-30k,3-5年,资深数据分析师,开发/测试/运维类,数据开发,[],2723475,2017-09-11 11:34:26
上海,奥致网络,上海奥致网络科技有限公司,"移动互联网,生活服务",徐汇区,无打卡,10k-20k,1-3年,数据分析主管,开发/测试/运维类,数据开发,"['大数据', '数据挖掘', 'SPSS', '数据管理']",3266332,2017-09-11 14:00:06
